doi	title	journal	pub_date	abstract_crossref	authors	url	subjects	citation_count	type	abstract	matched_interest_keywords	matched_generic_keywords	matched_keywords_display	matched_user_interest	interest_keyword_score	generic_keyword_count	journal_score	generic_bioinfo_score	citation_bonus	abstract_bonus	bonus_score	impact_score	generic_signal_tmp	keep_candidate	why_it_matters	major_discoveries	significance
10.1016/j.cell.2026.01.021	The MicrobeAtlas database: Global trends and insights into Earth’s microbial ecosystems	Cell	2026-04-01		João Frederico Matias Rodrigues; Janko Tackmann; Lukas Malfertheiner; David Patsch; Eugenio Perez-Molphe-Montoya; Nicolas Näpflin; Daniela Gaio; Gregor Rot; Mihai Danaila; Matteo Eustachio Peluso; Marija Dmitrijeva; Thomas Sebastian Benedikt Schmidt	https://doi.org/10.1016/j.cell.2026.01.021		1	journal-article			atlas; database	atlas; database	False	0.0	2.0	10.0	4.9	0.03	0.0	1.0	15.93	4.9	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Cell.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: atlas; database. Introduces a reusable community resource. Builds an atlas-scale reference or dataset.
10.1038/s41587-026-03068-6	Scalable single-cell total RNA sequencing unifies coding and noncoding transcriptomics	Nature Biotechnology	2026-03-31		Alina Isakova; Daniel Dan Liu; Ivana Cvijović; Rahul Sinha; Anna E. Eastman; Sirle Saul; Angela M. Detweiler; Norma Neff; Shirit Einav; Irving L. Weissman; Stephen R. Quake	https://doi.org/10.1038/s41587-026-03068-6		0	journal-article			single-cell; transcriptomics	single-cell; transcriptomics	False	0.0	2.0	9.5	5.1	0.0	0.0	0.0	14.6	5.1	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Biotechnology.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: single-cell; transcriptomics. Likely relevant to single-cell analysis workflows.
10.1038/s41587-026-03046-y	Mapping cis-regulatory mutations at scale in sorghum enables modulation of gene expression	Nature Biotechnology	2026-03-27	Abstract Precise modulation of gene expression through cis -regulatory editing holds promise for nontransgenic crop improvement. However, the sequence-to-function relationships that govern plant promoter activity remain poorly understood. Here we develop a massively parallel reporter assay in Sorghum bicolor to systematically measure the effects of >30,000 mutations spanning deletions, substitutions and motif insertions accessible through CRISPR editing across entire native promoters and 5′ untranslated regions of 3 photosynthesis genes: PsbS , Raf1 and SBPase . We find that gene expression is most tunable within a ~500-bp core promoter region. The mutational effects are reproducible across biological replicates and predictive of protein output. Within these regions, we identify compact deletions and motif insertions that strongly increase protein production (>30-fold relative to wild type), outperforming transgenic enhancer elements. Mutation–effect relationships are gene specific, highlighting the need for tailored regulatory maps. Our results establish a high-throughput strategy for cis -regulatory fine-mapping that may enable crop improvements through minimal, precise and nontransgenic gene edits.	Evan D. Groover; David Ding; Flora Z. Wang; Gonzalo Benegas; Joseph Rivera; Shahar Schwartz; Stephen Chen; Michael F. Moubarak; Viktoriya Georgieva; Peggy G. Lemaux; Brian J. Staskawicz; Krishna K. Niyogi	https://doi.org/10.1038/s41587-026-03046-y		0	journal-article	Abstract Precise modulation of gene expression through cis -regulatory editing holds promise for nontransgenic crop improvement. However, the sequence-to-function relationships that govern plant promoter activity remain poorly understood. Here we develop a massively parallel reporter assay in Sorghum bicolor to systematically measure the effects of >30,000 mutations spanning deletions, substitutions and motif insertions accessible through CRISPR editing across entire native promoters and 5′ untranslated regions of 3 photosynthesis genes: PsbS , Raf1 and SBPase . We find that gene expression is most tunable within a ~500-bp core promoter region. The mutational effects are reproducible across biological replicates and predictive of protein output. Within these regions, we identify compact deletions and motif insertions that strongly increase protein production (>30-fold relative to wild type), outperforming transgenic enhancer elements. Mutation–effect relationships are gene specific, highlighting the need for tailored regulatory maps. Our results establish a high-throughput strategy for cis -regulatory fine-mapping that may enable crop improvements through minimal, precise and nontransgenic gene edits.		crispr	crispr	False	0.0	1.0	9.5	4.0	0.0	1.0	0.0	14.5	4.0	True	Abstract Precise modulation of gene expression through cis -regulatory editing holds promise for nontransgenic crop improvement.	However, the sequence-to-function relationships that govern plant promoter activity remain poorly understood. Here we develop a massively parallel reporter assay in Sorghum bicolor to systematically measure the effects of >30,000 mutations spanning deletions, substitutions and motif insertions accessible through CRISPR editing across entire native promoters and 5′ untranslated regions of 3 photosynthesis genes: PsbS , Raf1 and SBPase .	Matched keywords: crispr.
10.1016/j.cell.2026.03.014	Functional RNA splitting drove the evolutionary emergence of type V CRISPR-Cas systems from transposons	Cell	2026-04-01		Shuai Jin; Zixu Zhu; Yunjia Li; Shouyue Zhang; Yijing Liu; Danyuan Li; Yuanqing Li; Yingfeng Luo; Zhiheng Cheng; Kevin Tianmeng Zhao; Qiang Gao; Guanglei Yang	https://doi.org/10.1016/j.cell.2026.03.014		0	journal-article			crispr	crispr	False	0.0	1.0	10.0	4.0	0.0	0.0	0.0	14.0	4.0	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Cell.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: crispr.
10.1126/science.adw2469	Atomic-resolution imaging of gold species at organic liquid-solid interfaces	Science	2026-04-02	The structure and dynamics of adsorbed atoms (adatoms) at solid-liquid interfaces determine the performance of advanced catalysts, electrochemical devices, molecular separation technologies, and metal extraction from waste streams. However, in situ investigations of atomically dispersed metals in various chemical environments have been prevented by insufficient imaging resolution and solvent incompatibility. In this study, we combined a specimen design that provides atomic resolution in liquid-phase electron microscopy with deep learning–enabled analysis to explore the interactions between gold adatoms, graphite support, and the solvent collectively. We tracked the locations of >10 6 graphite-supported gold adatoms, dimers, and larger clusters in five solvents. Although their initial atomic dispersion was determined by the solvent polarity, fast drying kinetics at low temperature was required for optimizing catalytic performance.	Sam Sullivan-Allsop; Nick Clark; Wendong Wang; Rongsheng Cai; William Thornley; David G. Hopkinson; James G. McHugh; Ben Davies; Samuel Pattisson; Nicholas F. Dummer; Rui Zhang; Matthew Lindley	https://doi.org/10.1126/science.adw2469		0	journal-article	The structure and dynamics of adsorbed atoms (adatoms) at solid-liquid interfaces determine the performance of advanced catalysts, electrochemical devices, molecular separation technologies, and metal extraction from waste streams. However, in situ investigations of atomically dispersed metals in various chemical environments have been prevented by insufficient imaging resolution and solvent incompatibility. In this study, we combined a specimen design that provides atomic resolution in liquid-phase electron microscopy with deep learning-enabled analysis to explore the interactions between gold adatoms, graphite support, and the solvent collectively. We tracked the locations of >106 graphite-supported gold adatoms, dimers, and larger clusters in five solvents. Although their initial atomic dispersion was determined by the solvent polarity, fast drying kinetics at low temperature was required for optimizing catalytic performance.		deep learning	deep learning	False	0.0	1.0	10.0	2.8	0.0	1.0	0.0	13.8	2.8	True	The structure and dynamics of adsorbed atoms (adatoms) at solid-liquid interfaces determine the performance of advanced catalysts, electrochemical devices, molecular separation technologies, and metal extraction from waste streams.	However, in situ investigations of atomically dispersed metals in various chemical environments have been prevented by insufficient imaging resolution and solvent incompatibility. In this study, we combined a specimen design that provides atomic resolution in liquid-phase electron microscopy with deep learning-enabled analysis to explore the interactions between gold adatoms, graphite support, and the solvent collectively.	Matched keywords: deep learning.
10.1038/s41592-026-03047-4	AlphaFold as a prior: experimental structure determination conditioned on a pretrained neural network	Nature Methods	2026-04-01		Alisia Fadini; Minhuan Li; Airlie J. McCoy; Suresh Banjara; Hiroki Okumura; Eve Napier; Pietro Fontana; Amir R. Khan; Luca Jovine; Thomas C. Terwilliger; Randy J. Read; Doeke R. Hekstra	https://doi.org/10.1038/s41592-026-03047-4		0	journal-article			alphafold	alphafold	False	0.0	1.0	9.5	4.0	0.0	0.0	0.0	13.5	4.0	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Methods.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: alphafold. Potentially important for structural bioinformatics.
10.1016/j.cell.2026.03.005	Senescence in cancer: Hallmarks, paradoxes, and therapeutic promise	Cell	2026-04-01		Clemens Hinterleitner; Hailey V. Goldberg; Domhnall McHugh; Valentin J.A. Barthet; Aveline Filliol; Scott W. Lowe	https://doi.org/10.1016/j.cell.2026.03.005		0	journal-article			llm	llm	False	0.0	1.0	10.0	3.0	0.0	0.0	0.0	13.0	3.0	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Cell.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: llm. Likely important for AI-driven bioinformatics.
10.1038/s41592-026-03027-8	Assessing uncertainty of sequence representations generated by protein language models	Nature Methods	2026-04-01			https://doi.org/10.1038/s41592-026-03027-8		0	journal-article			language model	language model	False	0.0	1.0	9.5	3.5	0.0	0.0	0.0	13.0	3.5	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Methods.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: language model. Likely important for AI-driven bioinformatics.
10.1038/s41592-026-03049-2	Bridging the gap between hybrid and sequence-only protein language models	Nature Methods	2026-03-30			https://doi.org/10.1038/s41592-026-03049-2		0	journal-article			language model	language model	False	0.0	1.0	9.5	3.5	0.0	0.0	0.0	13.0	3.5	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Methods.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: language model. Likely important for AI-driven bioinformatics.
10.1038/s41588-026-02553-7	Exome sequencing and analysis of 44,028 British South Asians enriched for high autozygosity	Nature Genetics	2026-03-27	Abstract Genes & Health (G&H) is a biomedical study of adult British Pakistani and Bangladeshi research volunteers enriched for autozygosity. Here we performed whole-exome sequencing in 44,028 G&H participants, establishing a large publicly available South Asian exome resource linked to longitudinal electronic health records. We performed exome-wide association analyses for 645 electronic health record-derived traits under additive and recessive models, and meta-analyses of 33 cardiometabolic traits with UK Biobank, finding more than 100 novel gene–phenotype associations. We identified 2,991 genes with rare biallelic predicted loss-of-function (‘knockout’) genotypes, 546 of which had not been previously reported. We show that drugs targeting genes with knockouts in adults are associated with a 2.2-fold higher likelihood of progressing beyond phase 1 clinical trials. We further illustrate how phenotypic profiles associated with knockout genotypes can enhance efficacy and safety assessment of drug targets and aid in the interpretation of variants with ambiguous clinical significance in autosomal recessive disease genes.	Hye In Kim; Christopher DeBoever; Klaudia Walter; Georgios Kalantzis; Chen Li; Sahar V. Mozaffari; Kousik Kundu; Benjamin M. Jacobs; Pedrum Mohammadi-Shemirani; Anthony M. Musolf; Jonathan M. Davitte; Melis A. Aksit	https://doi.org/10.1038/s41588-026-02553-7		0	journal-article	Genes & Health (G&H) is a biomedical study of adult British Pakistani and Bangladeshi research volunteers enriched for autozygosity. Here we performed whole-exome sequencing in 44,028 G&H participants, establishing a large publicly available South Asian exome resource linked to longitudinal electronic health records. We performed exome-wide association analyses for 645 electronic health record-derived traits under additive and recessive models, and meta-analyses of 33 cardiometabolic traits with UK Biobank, finding more than 100 novel gene-phenotype associations. We identified 2,991 genes with rare biallelic predicted loss-of-function ('knockout') genotypes, 546 of which had not been previously reported. We show that drugs targeting genes with knockouts in adults are associated with a 2.2-fold higher likelihood of progressing beyond phase 1 clinical trials. We further illustrate how phenotypic profiles associated with knockout genotypes can enhance efficacy and safety assessment of drug targets and aid in the interpretation of variants with ambiguous clinical significance in autosomal recessive disease genes.		resource	resource	False	0.0	1.0	9.2	2.2	0.0	1.0	0.0	12.4	2.2	True	Genes & Health (G&H) is a biomedical study of adult British Pakistani and Bangladeshi research volunteers enriched for autozygosity.	Here we performed whole-exome sequencing in 44,028 G&H participants, establishing a large publicly available South Asian exome resource linked to longitudinal electronic health records. We performed exome-wide association analyses for 645 electronic health record-derived traits under additive and recessive models, and meta-analyses of 33 cardiometabolic traits with UK Biobank, finding more than 100 novel gene-phenotype associations.	Matched keywords: resource. Introduces a reusable community resource.
10.1038/s41588-026-02547-5	Systematic analysis of snRNA genes reveals frequent RNU2-2 variants in dominant and recessive developmental and epileptic encephalopathies	Nature Genetics	2026-03-30	Abstract Small nuclear RNAs (snRNAs) are essential components of the spliceosome. De novo variants in snRNA genes RNU4-2 (ReNU syndrome), RNU5B-1 and RNU2-2 have been linked to dominant neurodevelopmental disorders (NDDs), revealing a large unexpected contribution of noncoding RNA genes to genetic diseases. Here, through international collaborations, we analyze systematically 200 potentially functional snRNA genes in a French cohort of 34,329 people with rare disorders. We report RNU2-2 variants in 141 individuals, including 35 with recurrent dominant pathogenic variants and 91 affected members from 73 families with biallelic variants. Recessive RNU2-2 NDD is at least twice as frequent as the dominant form and often involves a de novo variant in trans with an inherited allele, consistent with the high mutability of snRNA genes. Dominant and recessive RNU2-2 NDDs share overlapping clinical features, with frequent epilepsy. Blood transcriptomics and DNA methylation analyses revealed subtle, variant-specific effects on splicing and episignatures. Our results support a gradient-of-impact model bridging dominant and recessive inheritance, and establish RNU2-2 variants as a principal contributor to NDDs, nearly as prevalent as ReNU syndrome.	Elsa Leitão; Amandine Santini; Benjamin Cogne; Miriam Essid; Maria Athanasiadou; Christy W. LaFlamme; Pierre Marijon; Virginie Bernard; Kevin Jousselin; Nicolas Chatron; Giulia Barcia; Boris Keren	https://doi.org/10.1038/s41588-026-02547-5		0	journal-article	Abstract Small nuclear RNAs (snRNAs) are essential components of the spliceosome. De novo variants in snRNA genes RNU4-2 (ReNU syndrome), RNU5B-1 and RNU2-2 have been linked to dominant neurodevelopmental disorders (NDDs), revealing a large unexpected contribution of noncoding RNA genes to genetic diseases. Here, through international collaborations, we analyze systematically 200 potentially functional snRNA genes in a French cohort of 34,329 people with rare disorders. We report RNU2-2 variants in 141 individuals, including 35 with recurrent dominant pathogenic variants and 91 affected members from 73 families with biallelic variants. Recessive RNU2-2 NDD is at least twice as frequent as the dominant form and often involves a de novo variant in trans with an inherited allele, consistent with the high mutability of snRNA genes. Dominant and recessive RNU2-2 NDDs share overlapping clinical features, with frequent epilepsy. Blood transcriptomics and DNA methylation analyses revealed subtle, variant-specific effects on splicing and episignatures. Our results support a gradient-of-impact model bridging dominant and recessive inheritance, and establish RNU2-2 variants as a principal contributor to NDDs, nearly as prevalent as ReNU syndrome.		transcriptomics	transcriptomics	False	0.0	1.0	9.2	2.1	0.0	1.0	0.0	12.3	2.1	True	Abstract Small nuclear RNAs (snRNAs) are essential components of the spliceosome.	De novo variants in snRNA genes RNU4-2 (ReNU syndrome), RNU5B-1 and RNU2-2 have been linked to dominant neurodevelopmental disorders (NDDs), revealing a large unexpected contribution of noncoding RNA genes to genetic diseases. Here, through international collaborations, we analyze systematically 200 potentially functional snRNA genes in a French cohort of 34,329 people with rare disorders.	Matched keywords: transcriptomics.
10.1038/s41591-026-04286-w	An atlas to navigate environmental factors and health	Nature Medicine	2026-03-30			https://doi.org/10.1038/s41591-026-04286-w		0	journal-article			atlas	atlas	False	0.0	1.0	8.8	2.4	0.0	0.0	1.0	12.2	2.4	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Medicine.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: atlas. Builds an atlas-scale reference or dataset.
10.1016/j.cell.2026.01.017	Large-scale proteomics across neurological disorders uncovers biomarker panel and targets in multiple sclerosis	Cell	2026-04-01		Jakob Maximilian Bader; Christine Makarov; Sabrina Richter; Maximilian Thomas Strauss; Friederike Held; Maria Wahle; Michael Baggio Lorenz; Lara Pöschl; Patricia Skowronek; Marvin Thielert; Achim Berthele; Wen-Feng Zeng	https://doi.org/10.1016/j.cell.2026.01.017		0	journal-article			proteomics	proteomics	False	0.0	1.0	10.0	2.1	0.0	0.0	0.0	12.1	2.1	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Cell.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: proteomics.
10.1038/s43588-026-00973-3	HorusEye: a self-supervised foundation model for generalizable X-ray tomography restoration	Nature Computational Science	2026-03-27		Yuetan Chu; Longxi Zhou; Gongning Luo; Kai Kang; Suyu Dong; Zhongyi Han; Lianming Wu; Xianglin Meng; Changchun Yang; Xin Guo; Yuan Cheng; Yuan Qi	https://doi.org/10.1038/s43588-026-00973-3		0	journal-article			foundation model	foundation model	False	0.0	1.0	8.4	3.5	0.0	0.0	0.0	11.9	3.5	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Computational Science.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: foundation model. Likely important for AI-driven bioinformatics.
10.1038/s41591-026-04303-y	A deep joint-learning proteomics model for diagnosis of six conditions associated with dementia	Nature Medicine	2026-03-31	Abstract Co-pathology is a common feature of neurodegenerative diseases that complicates diagnosis, treatment and clinical management. However, sensitive, specific and scalable biomarkers for in vivo pathological diagnosis are not available for most neurodegenerative neuropathologies. Here we present Proteomics-based Artificial Intelligence for Dementia Diagnosis (ProtAIDe-Dx), a deep joint-learning model on 17,187 patients and controls (age of 70.3 ± 11.5 years, 53.2% female), that uses plasma proteomics to provide simultaneous probabilistic diagnosis across 6 conditions associated with dementia in aging. ProtAIDe-Dx achieves cross-validated balanced classification accuracy of 70–95% and area under the curve of >78% across all conditions. The model’s diagnostic probabilities highlighted subgroups of patients with co-pathologies and were associated with pathology-specific biomarkers in an external memory clinic sample, even among individuals without cognitive impairment. Model interpretation revealed a suite of protein networks marking shared and specific biological processes across diseases and identified novel and previously described proteins discriminating each diagnosis. ProtAIDe-Dx significantly improved biomarker-based differential diagnosis in a memory clinic sample, pinpointing proteins leading to diagnostic decisions at an individual level. Together, this work highlights the promise of plasma proteomics to improve patient-level diagnostic workup with a single blood draw.	Lijun An; Alexa Pichet Binette; Ines Hristovska; Gabriele Vilkaite; Yu Xiao; Romina Zendehdel; Zijian Dong; Bart Smets; Rowan Saloner; Shinya Tasaki; Ying Xu; Varsha Krish	https://doi.org/10.1038/s41591-026-04303-y		0	journal-article	Abstract Co-pathology is a common feature of neurodegenerative diseases that complicates diagnosis, treatment and clinical management. However, sensitive, specific and scalable biomarkers for in vivo pathological diagnosis are not available for most neurodegenerative neuropathologies. Here we present Proteomics-based Artificial Intelligence for Dementia Diagnosis (ProtAIDe-Dx), a deep joint-learning model on 17,187 patients and controls (age of 70.3 ± 11.5 years, 53.2% female), that uses plasma proteomics to provide simultaneous probabilistic diagnosis across 6 conditions associated with dementia in aging. ProtAIDe-Dx achieves cross-validated balanced classification accuracy of 70–95% and area under the curve of >78% across all conditions. The model’s diagnostic probabilities highlighted subgroups of patients with co-pathologies and were associated with pathology-specific biomarkers in an external memory clinic sample, even among individuals without cognitive impairment. Model interpretation revealed a suite of protein networks marking shared and specific biological processes across diseases and identified novel and previously described proteins discriminating each diagnosis. ProtAIDe-Dx significantly improved biomarker-based differential diagnosis in a memory clinic sample, pinpointing proteins leading to diagnostic decisions at an individual level. Together, this work highlights the promise of plasma proteomics to improve patient-level diagnostic workup with a single blood draw.		proteomics	proteomics	False	0.0	1.0	8.8	2.1	0.0	1.0	0.0	11.9	2.1	True	Abstract Co-pathology is a common feature of neurodegenerative diseases that complicates diagnosis, treatment and clinical management.	However, sensitive, specific and scalable biomarkers for in vivo pathological diagnosis are not available for most neurodegenerative neuropathologies. Here we present Proteomics-based Artificial Intelligence for Dementia Diagnosis (ProtAIDe-Dx), a deep joint-learning model on 17,187 patients and controls (age of 70.3 ± 11.5 years, 53.2% female), that uses plasma proteomics to provide simultaneous probabilistic diagnosis across 6 conditions associated with dementia in aging.	Matched keywords: proteomics.
10.1038/s41591-026-04283-z	Quemliclustat and chemotherapy with or without zimberelimab in metastatic pancreatic adenocarcinoma: a randomized phase 1 trial	Nature Medicine	2026-03-30	Abstract Quemliclustat potently inhibits CD73, a key enzyme producing immunosuppressive adenosine. In a phase 1b trial (ARC-8), we evaluated safety and efficacy of quemliclustat combined with gemcitabine/nab-paclitaxel (G/nP) with or without zimberelimab (anti-programmed cell death protein 1 (PD-1)) in first-line metastatic pancreatic ductal adenocarcinoma (PDAC). During the dose-escalation phase, 22 patients were enrolled across five dose levels of quemliclustat (25 mg, 50 mg, 75 mg, 100 mg or 125 mg) with G/nP + zimberelimab. During the dose-expansion phase, 116 patients were enrolled, beginning with a single-arm, non-randomized cohort receiving quemliclustat 100 mg + G/nP + zimberelimab, followed by a randomized cohort in which patients were assigned in a 2:1 ratio to receive quemliclustat 100 mg + G/nP with or without zimberelimab. The primary endpoint was safety and tolerability; secondary endpoints included assessments of clinical activity and survival. In all treatment arms, the safety profile was consistent with that of G/nP. Clinical response rates and survival outcomes were encouraging. NR4A family gene expression was upregulated by adenosine in vitro and by chemotherapy in human PDACs. High tumor NR4A expression was associated with improved overall survival (OS) in ARC-8 but not in two external cohorts from the PRINCE (G/nP + nivolumab (nivo)) or Morpheus-PDAC (G/nP) trials. Spatial tissue analyses revealed a scarcity of activated T cells near regions with high NR4A1 expression, consistent with an immunosuppressed tumor microenvironment. In paired pretreatment/posttreatment biopsies, maximal downregulation of NR4A expression was associated with T cell activation and improved OS, pointing to a biological link between tumor adenosine and clinical benefit. ClinicalTrials.gov identifier: NCT04104672 .	Zev A. Wainberg; Gulam A. Manji; Nathan Bahary; Susanna V. Ulahannan; Shubham Pant; David R. Spigel; Nataliya V. Uboha; Paul E. Oberstein; Anwaar Saeed; Brandon Beagle; Ji Yun Kim; Ning Wang	https://doi.org/10.1038/s41591-026-04283-z		0	journal-article	Abstract Quemliclustat potently inhibits CD73, a key enzyme producing immunosuppressive adenosine. In a phase 1b trial (ARC-8), we evaluated safety and efficacy of quemliclustat combined with gemcitabine/nab-paclitaxel (G/nP) with or without zimberelimab (anti-programmed cell death protein 1 (PD-1)) in first-line metastatic pancreatic ductal adenocarcinoma (PDAC). During the dose-escalation phase, 22 patients were enrolled across five dose levels of quemliclustat (25 mg, 50 mg, 75 mg, 100 mg or 125 mg) with G/nP + zimberelimab. During the dose-expansion phase, 116 patients were enrolled, beginning with a single-arm, non-randomized cohort receiving quemliclustat 100 mg + G/nP + zimberelimab, followed by a randomized cohort in which patients were assigned in a 2:1 ratio to receive quemliclustat 100 mg + G/nP with or without zimberelimab. The primary endpoint was safety and tolerability; secondary endpoints included assessments of clinical activity and survival. In all treatment arms, the safety profile was consistent with that of G/nP. Clinical response rates and survival outcomes were encouraging. NR4A family gene expression was upregulated by adenosine in vitro and by chemotherapy in human PDACs. High tumor NR4A expression was associated with improved overall survival (OS) in ARC-8 but not in two external cohorts from the PRINCE (G/nP + nivolumab (nivo)) or Morpheus-PDAC (G/nP) trials. Spatial tissue analyses revealed a scarcity of activated T cells near regions with high NR4A1 expression, consistent with an immunosuppressed tumor microenvironment. In paired pretreatment/posttreatment biopsies, maximal downregulation of NR4A expression was associated with T cell activation and improved OS, pointing to a biological link between tumor adenosine and clinical benefit. ClinicalTrials.gov identifier: NCT04104672 .		spatial	spatial	False	0.0	1.0	8.8	2.1	0.0	1.0	0.0	11.9	2.1	True	Abstract Quemliclustat potently inhibits CD73, a key enzyme producing immunosuppressive adenosine.	In a phase 1b trial (ARC-8), we evaluated safety and efficacy of quemliclustat combined with gemcitabine/nab-paclitaxel (G/nP) with or without zimberelimab (anti-programmed cell death protein 1 (PD-1)) in first-line metastatic pancreatic ductal adenocarcinoma (PDAC). During the dose-escalation phase, 22 patients were enrolled across five dose levels of quemliclustat (25 mg, 50 mg, 75 mg, 100 mg or 125 mg) with G/nP + zimberelimab.	Matched keywords: spatial. Potentially important for spatial omics analysis.
10.1038/s41592-026-03034-9	3d-OT: a deep geometry-aware framework for heterogeneous slices alignment of spatial multi-omics	Nature Methods	2026-03-27		Bingjie Dai; Litai Yi; Peizhuo Wang; Hanshuang Li; Pengwei Hu; Yancheng Song; Jixiang Xing; Zhenxing Feng; Zhiyuan Yuan; Yongchun Zuo	https://doi.org/10.1038/s41592-026-03034-9		0	journal-article			spatial	spatial	False	0.0	1.0	9.5	2.1	0.0	0.0	0.0	11.6	2.1	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Methods.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: spatial. Potentially important for spatial omics analysis.
10.1016/j.cels.2026.101571	Identifying maximally informative signal-aware representations of single-cell data using the information bottleneck	Cell Systems	2026-04-01		Serafima Dubnov; Zoe Piran; Amit Alper; Adi Yefroimsky; Hermona Soreq; Mor Nitzan	https://doi.org/10.1016/j.cels.2026.101571		0	journal-article			single-cell	single-cell	False	0.0	1.0	8.4	3.0	0.0	0.0	0.0	11.4	3.0	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Cell Systems.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: single-cell. Likely relevant to single-cell analysis workflows.
10.1016/j.cels.2026.101567	Single-cell morphodynamical trajectories enable prediction of gene expression accompanying cell state change	Cell Systems	2026-04-01		Jeremy Copperman; Ian C. Mclean; Sean M. Gross; Jalim Singh; Vaibhav Murthy; Young Hwan Chang; Alexander E. Davies; Daniel M. Zuckerman; Laura M. Heiser	https://doi.org/10.1016/j.cels.2026.101567		0	journal-article			single-cell	single-cell	False	0.0	1.0	8.4	3.0	0.0	0.0	0.0	11.4	3.0	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Cell Systems.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: single-cell. Likely relevant to single-cell analysis workflows.
10.1038/s41588-026-02542-w	The potential of wheat spatial omics	Nature Genetics	2026-04-01		Xiao-Yuan Tao; Cong Tan; Yifan Liu; Yuanyuan Wang; Ali Raza; Jing He; Lulu Wang; Keke Xia; Yan Yan; Sha Liao; Wei Jiang; Yue Qu	https://doi.org/10.1038/s41588-026-02542-w		0	journal-article			spatial	spatial	False	0.0	1.0	9.2	2.1	0.0	0.0	0.0	11.3	2.1	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Genetics.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: spatial. Potentially important for spatial omics analysis.
